ServiceID;Default;Cork;Dublin;Galway;Waterford;Limerick;Small_Cable;onnet_fibre;onnet_hfc;altnet_fibre;888
IESVC1004;172;172;172;172;172;172;172;NA;NA;172;NA
IESVC1006;653;653;653;653;653;653;653;NA;NA;653;NA
IESVC1007;210;210;210;210;210;210;210;NA;NA;210;NA
IESVC1009;508;508;508;508;508;508;508;NA;NA;508;NA
IESVC1010;353;353;353;353;353;353;353;NA;NA;353;NA
IESVC1012;207;207;207;207;207;207;207;NA;NA;207;NA
IESVC1013;107;107;107;107;107;107;107;NA;NA;107;NA
IESVC1014;600;600;600;600;600;600;600;NA;NA;600;NA
IESVC1017;351;351;351;351;351;351;351;NA;NA;351;NA
IESVC1019;354;354;354;354;354;354;354;NA;NA;354;NA
IESVC1020;652;652;652;652;652;652;652;NA;NA;652;NA
IESVC1021;724;724;724;724;724;724;724;NA;NA;724;NA
IESVC1023;454;454;454;454;454;454;454;NA;NA;454;NA
IESVC1024;932;932;932;932;932;932;932;NA;NA;932;NA
IESVC1025;930;930;930;930;930;930;930;NA;NA;930;NA
IESVC1026;933;933;933;933;933;933;933;NA;NA;933;NA
IESVC1027;934;934;934;934;934;934;934;NA;NA;934;NA
IESVC1028;931;931;931;931;931;931;931;NA;NA;931;NA
IESVC1029;936;936;936;936;936;936;936;NA;NA;936;NA
IESVC1030;217;217;217;217;217;217;217;NA;NA;217;NA
IESVC1037;450;450;450;450;450;450;450;NA;NA;450;NA
IESVC1039;603;603;603;603;603;603;603;NA;NA;603;NA
IESVC1040;457;457;457;457;457;457;457;NA;NA;457;NA
IESVC1041;607;607;607;607;607;607;607;NA;NA;607;NA
IESVC1042;151;151;151;151;151;151;151;NA;NA;151;NA
IESVC1043;612;612;612;612;612;612;612;NA;NA;612;NA
IESVC1046;901;901;901;901;901;901;901;NA;NA;901;NA
IESVC1047;902;902;902;902;902;902;902;NA;NA;902;NA
IESVC1048;903;903;903;903;903;903;903;NA;NA;903;NA
IESVC1049;905;905;905;905;905;905;905;NA;NA;905;NA
IESVC1050;904;904;904;904;904;904;904;NA;NA;904;NA
IESVC1051;917;917;917;917;917;917;917;NA;NA;917;NA
IESVC1056;356;356;356;356;356;356;356;NA;NA;356;NA
IESVC1057;357;357;357;357;357;357;357;NA;NA;357;NA
IESVC1059;352;352;352;352;352;352;352;NA;NA;352;NA
IESVC1060;358;358;358;358;358;358;358;NA;NA;358;NA
IESVC1061;360;360;360;360;360;360;360;NA;NA;360;NA
IESVC1062;361;361;361;361;361;361;361;NA;NA;361;NA
IESVC1063;719;719;719;719;719;719;719;NA;NA;719;NA
IESVC1064;158;158;158;158;158;158;158;NA;NA;158;NA
IESVC1065;809;809;809;809;809;809;809;NA;NA;809;NA
IESVC1066;909;909;909;909;909;909;909;NA;NA;909;NA
IESVC1067;910;910;910;910;910;910;910;NA;NA;910;NA
IESVC1068;911;911;911;911;911;911;911;NA;NA;911;NA
IESVC1069;913;913;913;913;913;913;913;NA;NA;913;NA
IESVC1070;906;906;906;906;906;906;906;NA;NA;906;NA
IESVC1071;912;912;912;912;912;912;912;NA;NA;912;NA
IESVC1072;928;928;928;928;928;928;928;NA;NA;928;NA
IESVC1073;929;929;929;929;929;929;929;NA;NA;929;NA
IESVC1074;907;907;907;907;907;907;907;NA;NA;907;NA
IESVC1075;908;908;908;908;908;908;908;NA;NA;908;NA
IESVC1076;155;155;155;155;155;155;155;NA;NA;155;NA
IESVC1077;156;156;156;156;156;156;156;NA;NA;156;NA
IESVC1082;415;415;415;415;415;422;422;NA;NA;422;NA
IESVC1085;723;723;723;723;723;723;723;NA;NA;723;NA
IESVC1086;211;211;211;211;211;211;211;NA;NA;211;NA
