Provider;dtv.ie;Price;Duration;Description
ProductId;EDSProductId;;;
crid://dtv.ie/lp/16888000;16888000;;;
crid://dtv.ie/lp/16888001;16888001;;;
crid://dtv.ie/lp/16888002;16888002;;;
crid://dtv.ie/lp/16888003;16888003;;;
crid://dtv.ie/lp/16888012;16888012;;;
crid://dtv.ie/lp/16888013;16888013;;;
crid://dtv.ie/lp/16888014;16888014;;;
crid://dtv.ie/lp/16888015;16888015;;;
crid://dtv.ie/lp/16888023;16888023;;;
crid://dtv.ie/lp/16888024;16888024;;;
crid://dtv.ie/lp/16888025;16888025;;;
crid://dtv.ie/lp/16888026;16888026;;;
crid://dtv.ie/lp/16888030;16888030;;;
crid://dtv.ie/lp/16888060;16888060;;;
crid://dtv.ie/lp/16888061;16888061;;;
crid://dtv.ie/lp/16888063;16888063;;;
crid://dtv.ie/lp/16888070;16888070;;;
crid://dtv.ie/lp/16888071;16888071;;;
crid://dtv.ie/lp/16888072;16888072;;;
crid://dtv.ie/lp/16888073;16888073;;;
crid://dtv.ie/lp/16888076;16888076;;;
crid://dtv.ie/lp/16888077;16888077;;;
crid://dtv.ie/lp/16888088;16888088;;;
crid://dtv.ie/lp/16888089;16888089;;;
crid://dtv.ie/lp/16888093;16888093;;;
crid://dtv.ie/lp/16888097;16888097;;;
crid://dtv.ie/lp/16888098;16888098;;;
crid://dtv.ie/lp/16888101;16888101;;;
crid://dtv.ie/lp/16888102;16888102;;;
crid://dtv.ie/lp/16888400;16888400;;;
crid://dtv.ie/lp/17888300;17888300;;;
crid://dtv.ie/lp/17888310;17888310;;;
crid://dtv.ie/lp/17888320;17888320;;;
crid://dtv.ie/lp/17888321;17888321;;;
crid://dtv.ie/lp/17888330;17888330;;;
crid://dtv.ie/lp/17888331;17888331;;;
crid://dtv.ie/lp/17888340;17888340;;;
crid://dtv.ie/lp/17888350;17888350;;;
crid://dtv.ie/lp/17888015;17888015;;;
crid://dtv.ie/lp/17888301;17888301;;;
crid://dtv.ie/lp/17888370;17888370;;;
crid://dtv.ie/lp/17888360;17888360;;;
