ServiceId;QAMRegion;Frequency;SymbolRate;Modulation;FecInner;FecOuter;ProgramNbr;IPLocationURL;CpeType;DRMProtectionKey;StreamingProtocol
IESVC1004;43216;372000000;6875000;5;0;0;104;;EOS;;
IESVC1004;43217;150000000;6887000;5;0;0;104;;EOS;;
IESVC1004;43218;339500000;6887000;5;0;0;104;;EOS;;
IESVC1004;43219;339500000;6887000;5;0;0;104;;EOS;;
IESVC1004;43220;442000000;6875000;5;0;0;104;;EOS;;
IESVC1004;43226;348000000;6875000;5;0;0;104;;EOS;;
IESVC1006;43216;372000000;6875000;5;0;0;106;;EOS;;
IESVC1006;43217;150000000;6887000;5;0;0;106;;EOS;;
IESVC1006;43218;339500000;6887000;5;0;0;106;;EOS;;
IESVC1006;43219;339500000;6887000;5;0;0;106;;EOS;;
IESVC1006;43220;442000000;6875000;5;0;0;106;;EOS;;
IESVC1006;43226;348000000;6875000;5;0;0;106;;EOS;;
IESVC1007;43216;372000000;6875000;5;0;0;107;;EOS;;
IESVC1007;43217;150000000;6887000;5;0;0;107;;EOS;;
IESVC1007;43218;339500000;6887000;5;0;0;107;;EOS;;
IESVC1007;43219;339500000;6887000;5;0;0;107;;EOS;;
IESVC1007;43220;442000000;6875000;5;0;0;107;;EOS;;
IESVC1007;43226;348000000;6875000;5;0;0;107;;EOS;;
IESVC1009;43216;372000000;6875000;5;0;0;109;;EOS;;
IESVC1009;43217;150000000;6887000;5;0;0;109;;EOS;;
IESVC1009;43218;339500000;6887000;5;0;0;109;;EOS;;
IESVC1009;43219;339500000;6887000;5;0;0;109;;EOS;;
IESVC1009;43220;442000000;6875000;5;0;0;109;;EOS;;
IESVC1009;43226;348000000;6875000;5;0;0;109;;EOS;;
IESVC1010;43216;372000000;6875000;5;0;0;110;;EOS;;
IESVC1010;43217;150000000;6887000;5;0;0;110;;EOS;;
IESVC1010;43218;339500000;6887000;5;0;0;110;;EOS;;
IESVC1010;43219;339500000;6887000;5;0;0;110;;EOS;;
IESVC1010;43220;442000000;6875000;5;0;0;110;;EOS;;
IESVC1010;43226;348000000;6875000;5;0;0;110;;EOS;;
IESVC1012;43216;372000000;6875000;5;0;0;112;;EOS;;
IESVC1012;43217;150000000;6887000;5;0;0;112;;EOS;;
IESVC1012;43218;339500000;6887000;5;0;0;112;;EOS;;
IESVC1012;43219;339500000;6887000;5;0;0;112;;EOS;;
IESVC1012;43220;442000000;6875000;5;0;0;112;;EOS;;
IESVC1012;43226;348000000;6875000;5;0;0;112;;EOS;;
IESVC1013;43216;372000000;6875000;5;0;0;113;;EOS;;
IESVC1013;43217;150000000;6887000;5;0;0;113;;EOS;;
IESVC1013;43218;339500000;6887000;5;0;0;113;;EOS;;
IESVC1013;43219;339500000;6887000;5;0;0;113;;EOS;;
IESVC1013;43220;442000000;6875000;5;0;0;113;;EOS;;
IESVC1013;43226;348000000;6875000;5;0;0;113;;EOS;;
IESVC1014;43216;372000000;6875000;5;0;0;114;;EOS;;
IESVC1014;43217;150000000;6887000;5;0;0;114;;EOS;;
