TermID;GenreType;OrderIndex/Mapping;en-EU;en-IE
1;service;;Sport;Sport
2;service;;Entertainment;Entertainment
3;service;;Documentary & Lifestyle;Lifestyle
4;service;;Movies & Series;Movies
5;service;;Kids;Kids
6;service;;Shopping;Shopping
7;service;;General;General
8;service;;News;News
9;service;;Culture;Culture
10;service;;Interactive TV;Interactive TV
11;service;;Regional;Regional
12;service;;Religious & Ethics;Religion
13;service;;Documentary & Info;Documentaries
14;service;;Music;Music
15;service;;Local ;Local 
16;service;;International;International
17;service;;Customer Info;Customer Info
18;service;;TVOD;TVOD
19;service;;Adult;Adult
1;replay;;Sport;Sport
2;replay;;Entertainment;Entertainment
3;replay;;Documentary & Lifestyle;Lifestyle
4;replay;;Movies & Series;Movies
5;replay;;Kids;Kids
6;replay;;Shopping;Shopping
7;replay;;General;General
8;replay;;News;News
9;replay;;Culture;Culture
10;replay;;Interactive TV;Interactive TV
11;replay;;Regional;Regional
12;replay;;Religious & Ethics;Religion
13;replay;;Documentary & Info;Documentaries
14;replay;;Music;Music
15;replay;;Local ;Local 
16;replay;;International;International
17;replay;;Customer Info;Customer Info
18;replay;;TVOD;TVOD
19;replay;;Adult;Adult
1;mapping;4;;
2;mapping;8;;
3;mapping;5;;
3.1;mapping;5;;
3.10;mapping;5;;
3.11;mapping;5;;
3.2;mapping;5;;
3.3;mapping;5;;
3.4;mapping;5;;
3.5;mapping;5;;
3.6;mapping;5;;
3.7;mapping;5;;
3.8;mapping;5;;
3.9;mapping;5;;
4;mapping;4;;
5;mapping;13;;
6;mapping;3;;
7;mapping;8;;
7.1;mapping;8;;
8;mapping;13;;
8.1;mapping;3;;
8.10;mapping;3;;
8.11;mapping;3;;
8.12;mapping;3;;
8.13;mapping;3;;
8.2;mapping;3;;
8.3;mapping;3;;
8.4;mapping;3;;
8.5;mapping;3;;
8.6;mapping;3;;
8.7;mapping;3;;
8.8;mapping;3;;
8.9;mapping;3;;
9;mapping;4;;
9.1;mapping;4;;
9.10;mapping;4;;
9.11;mapping;4;;
9.12;mapping;4;;
9.13;mapping;4;;
9.14;mapping;4;;
9.2;mapping;4;;
9.3;mapping;4;;
9.4;mapping;4;;
9.5;mapping;4;;
9.6;mapping;4;;
9.7;mapping;4;;
9.8;mapping;4;;
9.9;mapping;4;;
10;mapping;2;;
10.1;mapping;2;;
10.10;mapping;2;;
10.11;mapping;2;;
10.12;mapping;2;;
10.2;mapping;2;;
10.3;mapping;2;;
10.4;mapping;2;;
10.5;mapping;2;;
10.6;mapping;2;;
10.7;mapping;2;;
10.8;mapping;2;;
10.9;mapping;2;;
11;mapping;13;;
11.1;mapping;13;;
11.2;mapping;13;;
11.3;mapping;13;;
12;mapping;19;;
12.1;mapping;19;;
12.2;mapping;19;;
12.3;mapping;19;;
