ProviderKey;ProviderName;ProviderId;Type;ParentId;ConcurrencyLimit;RestrictedRecommendations;OTTCastingRights;ProviderLogo;DeviceRegistration;MADL;MADLMovies;MADLEpisodes;MADLEpisodesPerSeason;Priority;GridInclusion;OTTStreamingRestrict;ExcludeFromAao;AVADEnabled;RelatedProvider;RelatedChannels;VodOTTOnlyPurchasable
SKY;SKY;;group;;1;1;;;;;;;;;;;;;;;
1001;Arrivo;1001;content;;;;;;;;;;;;;;;;;;
10100;RTE;10100;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/RTEPlayer.png;;;;;;;;;;;;;
10200;TV3;10200;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/Virgin_Media_Television.png;;;;;;;;;;;;;
10201;TV3_MyPrime;10201;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/Virgin_Media_Television.png;;;;;;;;;;;;;
10210;TV3_HD;10210;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/Virgin_Media_Television.png;;;;;;;;;;;;;
10300;TG4;10300;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/TG4.png;;;;;;;;;;;;;
10400;CH4;10400;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/All4.png;;;;;;;;;;;;;
10600;Discovery;10600;content;;;;;https://staticqbr-preprod-ie.gnp.cloud.virginmediatv.ie/image-service/pre-ImagesProviders/Discovery.png;;;;;;;;;;;;;
10700;Disney;10700;content;;;;;;;;;;;;;;;;;;
10900;DIGIT;10900;content;;;;;;;;;;;;;;;;;;
11200;Turner;11200;content;;;;;;;;;;;;;;;;;;
